SUMLEV,STATE,COUNTY,REGION,DIVISION,ctyname,STNAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNALMIG2000,INTERNALMIG2001,INTERNALMIG2002,INTERNALMIG2003,INTERNALMIG2004,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,CENSUS2000GQPOP,GQESTIMATESBASE2000,GQPOPESTIMATES2000,GQPOPESTIMATES2001,GQPOPESTIMATES2002,GQPOPESTIMATES2003,GQPOPESTIMATES2004
50,48,489,3,7,Willacy County,Texas,20082,20082,20071,19894,20024,20079,20231,84,408,383,384,392,25,89,106,104,79,11,58,57,57,57,-79,-552,-198,-279,-221,-2,-2,-6,-3,3,1072,1072,1072,1072,1072,1072,1072
50,48,491,3,7,Williamson County,Texas,249967,249967,254997,276749,290521,304024,317938,1045,4647,4857,4967,4942,270,1206,1226,1303,1346,209,794,777,761,760,4164,17381,9411,9136,9590,-118,136,-47,-58,-32,4926,4926,4926,4860,4832,4845,4845
50,48,493,3,7,Wilson County,Texas,32408,32408,32719,33429,34374,35343,36726,114,419,425,403,413,59,237,254,268,262,4,13,14,12,12,257,517,763,829,1223,-5,-2,-3,-7,-3,518,518,518,508,501,513,513
50,48,495,3,7,Winkler County,Texas,7173,7173,7089,7064,6965,6780,6714,21,113,90,95,93,30,63,82,77,71,1,14,14,14,14,-74,-86,-121,-216,-103,-2,-3,0,-1,1,135,135,135,134,144,140,140
50,48,497,3,7,Wise County,Texas,48793,48793,49436,51309,52897,54401,55539,175,693,656,671,700,122,405,405,446,447,24,115,113,108,108,580,1465,1233,1181,776,-14,5,-9,-10,1,1153,1153,1153,1167,1181,1169,1169
50,48,499,3,7,Wood County,Texas,36752,36752,36880,37586,38041,39407,40357,109,414,437,438,469,133,498,548,539,533,11,66,61,59,60,143,728,514,1416,962,-2,-4,-9,-8,-8,1459,1459,1459,1552,1463,1671,1671
50,48,501,3,7,Yoakum County,Texas,7322,7322,7279,7299,7223,7269,7348,29,132,110,121,116,11,52,59,56,56,2,33,31,29,30,-62,-91,-157,-47,-12,-1,-2,-1,-1,1,48,48,48,58,47,43,43
50,48,503,3,7,Young County,Texas,17943,17943,17928,17744,17706,17960,17938,58,222,235,233,228,64,260,274,262,242,9,23,23,23,23,-18,-166,-19,263,-30,0,-3,-3,-3,-1,402,402,402,410,403,413,413
50,48,505,3,7,Zapata County,Texas,12182,12182,12224,12423,12728,12923,13154,59,241,286,266,241,17,84,75,73,64,16,70,68,67,68,-16,-20,31,-63,-16,0,-8,-5,-2,2,25,25,25,25,25,25,25
50,48,507,3,7,Zavala County,Texas,11600,11600,11605,11590,11638,11645,11700,36,213,197,208,204,23,75,79,67,64,10,35,35,35,35,-19,-187,-102,-167,-121,1,-1,-3,-2,1,363,363,363,363,363,363,363
